hpo_id,name,definition,synonyms,ref,related_diseases,related_genes
HP:0030908,Liver kidney microsome type 1 antibody positivity,"The presence of autoantibodies (immunoglobulins) in the serum that react against P450 2D6, a cytochrome P450 mono-oxygenase. Anti-LKM-1 antibodies are considered to be a diagnostic marker of autoimmune hepatitis type 2 (AIH2).",Anti-LKM-1 positive|Anti-LKM1 antibody positivity|Anti-liver kidney microsomal type 1 antibody positivity|Anti-type I liver-kidney microsomal antibody positivity,,ORPHA:562639|ORPHA:2137|ORPHA:3002,NCBIGene:9103:FCGR2C
HP:0030909,Anti-liver cytosolic antigen type 1 antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against a 60-kd peptide contained in the liver cytosolic fraction.,Anti-liver cytosol antibody-1 positivity,,ORPHA:562639|ORPHA:37042|ORPHA:2137,NCBIGene:50943:FOXP3
HP:0031104,Insulin receptor antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against the insulin receptor.,,,ORPHA:37042|ORPHA:228426,NCBIGene:50943:FOXP3|NCBIGene:83737:ITCH
HP:0031810,Anti-ganglioside antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react to gangliosides.,,,ORPHA:98919,
HP:0031907,Anti-mitochondrial M2 antibody positivity,The presence of M2 anti-mitochondrial antibody (immunoglobulins) in the serum.,AMA-M2 positive,,,
HP:0032069,Anti-thyroglobulin antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react to thyroglobulin.,Anti-thyroid globulin antibody positivity|TgAbs,,ORPHA:95719|ORPHA:566243|OMIM:274300|OMIM:618534|OMIM:618048|OMIM:619632|OMIM:609152|OMIM:615577|ORPHA:3002|OMIM:240300|OMIM:301109|ORPHA:64744,NCBIGene:7068:THRB|NCBIGene:10125:RASGRP1|NCBIGene:51371:POMP|NCBIGene:29775:CARD10|NCBIGene:7253:TSHR|NCBIGene:4791:NFKB2|NCBIGene:9103:FCGR2C|NCBIGene:326:AIRE|NCBIGene:139818:DOCK11
HP:0032229,Perinuclear antineutrophil antibody positivity,The presence of autoantibodies in the serum that react against proteins predominantly expressed in perinuclear region of neutrophils.,p-ANCA positivity,,OMIM:618394|ORPHA:596448|OMIM:619573|ORPHA:60|OMIM:608710|OMIM:617718|OMIM:614420|ORPHA:91414|ORPHA:183|ORPHA:900|ORPHA:727|OMIM:233450,NCBIGene:60468:BACH2|NCBIGene:50619:DEF6|NCBIGene:5265:SERPINA1|NCBIGene:10095:ARPC1B|NCBIGene:1776:DNASE1L3|NCBIGene:1499:CTNNB1|NCBIGene:3115:HLA-DPB1|NCBIGene:26191:PTPN22|NCBIGene:1493:CTLA4|NCBIGene:5657:PRTN3|NCBIGene:3113:HLA-DPA1
HP:0032230,Cytoplasmic antineutrophil antibody positivity,The presence of autoantibodies in the serum that react against proteins predominantly expressed in cytoplasmic granules of neutrophils.,Anti-neutrophil cytoplasmic antibody positivity|C-ANCA antibodies|Cytoplasmic antineutrophil cytoplasmic antibodies,,OMIM:256810|ORPHA:79078|ORPHA:727|OMIM:620815|OMIM:233450|ORPHA:93126|ORPHA:183|OMIM:615934|ORPHA:199241|OMIM:301109|ORPHA:900|ORPHA:48435|ORPHA:449400|OMIM:620813|OMIM:608710,NCBIGene:4358:MPV17|NCBIGene:8625:RFXANK|NCBIGene:340061:STING1|NCBIGene:440275:EIF2AK4|NCBIGene:139818:DOCK11|NCBIGene:3115:HLA-DPB1|NCBIGene:26191:PTPN22|NCBIGene:1493:CTLA4|NCBIGene:5657:PRTN3|NCBIGene:3113:HLA-DPA1|NCBIGene:6891:TAP2
HP:0032235,Anti-La/SS-B antibody positivity,The presence of autoantibodies in the blood circulation that react against La/SSB autoantigens.,,,ORPHA:163525|ORPHA:596448|ORPHA:536|ORPHA:90283,NCBIGene:640:BLK|NCBIGene:6696:SPP1|NCBIGene:221895:JAZF1|NCBIGene:3500:IGHG1|NCBIGene:3684:ITGAM|NCBIGene:3586:IL10|NCBIGene:51284:TLR7|NCBIGene:11277:TREX1|NCBIGene:1380:CR2|NCBIGene:2215:FCGR3B|NCBIGene:7332:UBE2L3|NCBIGene:55024:BANK1|NCBIGene:4204:MECP2|NCBIGene:720:C4A|NCBIGene:3654:IRAK1|NCBIGene:721:C4B|NCBIGene:5133:PDCD1|NCBIGene:7292:TNFSF4|NCBIGene:3663:IRF5|NCBIGene:7128:TNFAIP3|NCBIGene:6775:STAT4|NCBIGene:1773:DNASE1|NCBIGene:1493:CTLA4|NCBIGene:26191:PTPN22|NCBIGene:79932:KIAA0319L|NCBIGene:3123:HLA-DRB1|NCBIGene:10318:TNIP1|NCBIGene:2113:ETS1|NCBIGene:2213:FCGR2B|NCBIGene:54899:PXK
HP:0032264,Anti-NMDA receptor antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against the NMDA (N-methyl-D-aspartate)-type glutamate receptor.,Presence of anti-N-methyl-D-aspartate Receptor antibody in blood|Presence of anti-NMDAR antibody in blood,,ORPHA:217253,
HP:0032366,Positive direct antiglobulin test,"A positive result of the direct antiglobulin test (DAT), a method of demonstrating the presence of antibody or complement bound to red blood cell (RBC) membranes by the use of anti-human globulin to form a visible agglutination reaction.",,,ORPHA:90033|ORPHA:71275,NCBIGene:6006:RHCE|NCBIGene:6007:RHD|NCBIGene:6005:RHAG
HP:0032376,Anti-beta 2 glycoprotein I antibody positivity,Presence of antibodies against beta 2 glycoprotein I in the circulation. Beta-2 glycoprotein I (beta2GPI) is the principal target of autoantibodies in the antiphospholipid syndrome (APS).,Anti-B2GPI positivity,,ORPHA:80|ORPHA:464343|OMIM:618048,NCBIGene:51371:POMP
HP:0032469,Anti-asialoglycoprotein receptor antibody positivity,Presence of autoantibodies against the asialoglycoprotein receptor (ASGPR) in the blood circulation.,,,ORPHA:2137,
HP:0032492,Anti-myelin oligodendrocyte glycoprotein antibody positivity,Presence of antibodies in the serum that react against myelin oligodendrocyte glycoprotein.,Anti-MOG antibody positivity,,ORPHA:83597,
HP:0033028,Anti-U1 ribonucleoprotein antibody positivity,"The presence autoantibodies in the serum that react to proteins (70 Kd, A, C) that are associated with U1 RNA and form U1snRNP.",Anti-RNP-antibodies|Anti-U1-RNP antibody positivity,,ORPHA:809|ORPHA:596448|OMIM:619375|ORPHA:536|OMIM:301109,NCBIGene:8651:SOCS1|NCBIGene:640:BLK|NCBIGene:6696:SPP1|NCBIGene:221895:JAZF1|NCBIGene:3500:IGHG1|NCBIGene:3684:ITGAM|NCBIGene:3586:IL10|NCBIGene:51284:TLR7|NCBIGene:11277:TREX1|NCBIGene:1380:CR2|NCBIGene:2215:FCGR3B|NCBIGene:7332:UBE2L3|NCBIGene:55024:BANK1|NCBIGene:4204:MECP2|NCBIGene:720:C4A|NCBIGene:3654:IRAK1|NCBIGene:721:C4B|NCBIGene:5133:PDCD1|NCBIGene:7292:TNFSF4|NCBIGene:3663:IRF5|NCBIGene:7128:TNFAIP3|NCBIGene:6775:STAT4|NCBIGene:1773:DNASE1|NCBIGene:1493:CTLA4|NCBIGene:26191:PTPN22|NCBIGene:79932:KIAA0319L|NCBIGene:3123:HLA-DRB1|NCBIGene:10318:TNIP1|NCBIGene:2113:ETS1|NCBIGene:2213:FCGR2B|NCBIGene:54899:PXK|NCBIGene:139818:DOCK11
HP:0033030,Anti-glomerular basement membrane-antibody positivity,The presence of autoantibodies in the serum that react to the glomerular basement membrane.,Anti-GBM-antibody positivity,,OMIM:233450,
HP:0033033,Anti-MDA5 antibody positivity,The presence of autoantibodies in the serum that react to Anti-MDA5 (Anti-melanoma differentiation-associated proteine 5).,Increased level of anti-melanoma differentiation-associated protein 5 antibodies,,ORPHA:221,
HP:0033034,Anti-citrullinated protein antibody positivity,"The presence autoantibodies in the serum that react do different citrullinated antigens, including filaggrin, fibrinogen, vimentin and collagen.",,,OMIM:180300,NCBIGene:51744:CD244|NCBIGene:26191:PTPN22|NCBIGene:4261:CIITA|NCBIGene:4795:NFKBIL1|NCBIGene:3586:IL10|NCBIGene:6583:SLC22A4
HP:0033038,Anti-RNA-polymerase-III-autoantibody positivity,The presence of autoantibodies in the serum that react to RNA-polymerase III.,,,ORPHA:90291,
HP:0033040,Anti-Sm antibody positivity,The presence of autoantibodies in the serum that react to seven proteins that consist of a core of small nuclear ribonucleoprotein (snRNP) particles.,Anti-Smith autoantibody,,ORPHA:596448|ORPHA:206572|ORPHA:536|OMIM:620376|OMIM:620321,NCBIGene:640:BLK|NCBIGene:6696:SPP1|NCBIGene:221895:JAZF1|NCBIGene:3500:IGHG1|NCBIGene:3684:ITGAM|NCBIGene:3586:IL10|NCBIGene:51284:TLR7|NCBIGene:11277:TREX1|NCBIGene:1380:CR2|NCBIGene:2215:FCGR3B|NCBIGene:7332:UBE2L3|NCBIGene:55024:BANK1|NCBIGene:4204:MECP2|NCBIGene:720:C4A|NCBIGene:3654:IRAK1|NCBIGene:721:C4B|NCBIGene:5133:PDCD1|NCBIGene:7292:TNFSF4|NCBIGene:3663:IRF5|NCBIGene:7128:TNFAIP3|NCBIGene:6775:STAT4|NCBIGene:1773:DNASE1|NCBIGene:1493:CTLA4|NCBIGene:26191:PTPN22|NCBIGene:79932:KIAA0319L|NCBIGene:3123:HLA-DRB1|NCBIGene:10318:TNIP1|NCBIGene:2113:ETS1|NCBIGene:2213:FCGR2B|NCBIGene:54899:PXK|NCBIGene:4067:LYN|NCBIGene:713:C1QB
HP:0033342,Anti-aquaporin 4 antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against aquaporin-4.,Anti-AQP4 antibody positivity,,OMIM:301080,NCBIGene:51284:TLR7
HP:0033394,Anti-carbonic anhydrase II antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against carbonic anhydrase II.,,,ORPHA:90291,
HP:0033395,Antilactoferrin antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against lactoferrin.,,,,
HP:0033476,Extractable nuclear antigen positivity,The presence of autoantibodies in the serum that react against extractable nuclear components that are referred to as extractable because they can be extracted from cell nuclei with saline solution.,,,OMIM:620321|ORPHA:163525|ORPHA:596448|ORPHA:536|ORPHA:90283|ORPHA:90291|ORPHA:206572|ORPHA:809|OMIM:619375|OMIM:301109|OMIM:620376|ORPHA:289390,NCBIGene:713:C1QB|NCBIGene:640:BLK|NCBIGene:6696:SPP1|NCBIGene:221895:JAZF1|NCBIGene:3500:IGHG1|NCBIGene:3684:ITGAM|NCBIGene:3586:IL10|NCBIGene:51284:TLR7|NCBIGene:11277:TREX1|NCBIGene:1380:CR2|NCBIGene:2215:FCGR3B|NCBIGene:7332:UBE2L3|NCBIGene:55024:BANK1|NCBIGene:4204:MECP2|NCBIGene:720:C4A|NCBIGene:3654:IRAK1|NCBIGene:721:C4B|NCBIGene:5133:PDCD1|NCBIGene:7292:TNFSF4|NCBIGene:3663:IRF5|NCBIGene:7128:TNFAIP3|NCBIGene:6775:STAT4|NCBIGene:1773:DNASE1|NCBIGene:1493:CTLA4|NCBIGene:26191:PTPN22|NCBIGene:79932:KIAA0319L|NCBIGene:3123:HLA-DRB1|NCBIGene:10318:TNIP1|NCBIGene:2113:ETS1|NCBIGene:2213:FCGR2B|NCBIGene:54899:PXK|NCBIGene:8651:SOCS1|NCBIGene:139818:DOCK11|NCBIGene:4067:LYN
HP:0033554,Anti-Mi2 antibody positivity,The presence of autoantibodies in the blood circulation that react against the Mi-2 antigen.,,,ORPHA:221,
HP:0033555,Anti-Ro/SS-A antibody positivity,The presence of autoantibodies in the blood circulation that react against Ro/SSA autoantigens.,Anti-Ro/SSA antibody positivity,,ORPHA:206572|ORPHA:596448|ORPHA:289390|ORPHA:163525,
HP:0033556,Anti-nucleoporin 62 antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against nucleoporin 62.,Anti-p62 antibody positivity,,ORPHA:536,NCBIGene:640:BLK|NCBIGene:6696:SPP1|NCBIGene:221895:JAZF1|NCBIGene:3500:IGHG1|NCBIGene:3684:ITGAM|NCBIGene:3586:IL10|NCBIGene:51284:TLR7|NCBIGene:11277:TREX1|NCBIGene:1380:CR2|NCBIGene:2215:FCGR3B|NCBIGene:7332:UBE2L3|NCBIGene:55024:BANK1|NCBIGene:4204:MECP2|NCBIGene:720:C4A|NCBIGene:3654:IRAK1|NCBIGene:721:C4B|NCBIGene:5133:PDCD1|NCBIGene:7292:TNFSF4|NCBIGene:3663:IRF5|NCBIGene:7128:TNFAIP3|NCBIGene:6775:STAT4|NCBIGene:1773:DNASE1|NCBIGene:1493:CTLA4|NCBIGene:26191:PTPN22|NCBIGene:79932:KIAA0319L|NCBIGene:3123:HLA-DRB1|NCBIGene:10318:TNIP1|NCBIGene:2113:ETS1|NCBIGene:2213:FCGR2B|NCBIGene:54899:PXK
HP:0033557,Anti-proteinase 3 antibody positivity,The presence of autoantibodies in the blood circulation that react against proteinase 3. Proteinase 3 (PR3) antigen is a 29-kD serine protease that exists as a protein triplet in human neutrophils,Anti-PR3 antibody positivity,,ORPHA:183|ORPHA:900|ORPHA:727,NCBIGene:3115:HLA-DPB1|NCBIGene:26191:PTPN22|NCBIGene:1493:CTLA4|NCBIGene:5657:PRTN3|NCBIGene:3113:HLA-DPA1
HP:0033558,Anti-histone antibody positivity,The presence of autoantibodies in the blood circulation that react against histone antigens.,,,ORPHA:163525,
HP:0033559,Anti-myeloperoxidase antibody positivity,The presence of autoantibodies in the blood circulation that react against myeloperoxidase.,Anti-MPO antibody positivity|Anti-myeloperoxidase specific antineutrophil cytoplasmic antibody|MPO-ANCA,,ORPHA:91414|ORPHA:183|ORPHA:900|ORPHA:727|OMIM:233450,NCBIGene:1499:CTNNB1|NCBIGene:3115:HLA-DPB1|NCBIGene:26191:PTPN22|NCBIGene:1493:CTLA4|NCBIGene:5657:PRTN3|NCBIGene:3113:HLA-DPA1
HP:0033560,Anti-PM-Scl antibody positivity,"Anti-PM-Scl antibodies target components of RNA-processing exosome complex in the nucleolus. There are ten proteins in this complex and antibodies to eight of them are found at varying frequencies; PM/Scl-100, PM/Scl-75, hRrp4, hRrp42, hRrp46, hCs14, hRrp41, and hRrp40.",Anti-PM/Scl antibody positivity,,ORPHA:90291|ORPHA:206572,
HP:0033561,Anti-bactericidal/permeability-increasing protein antibody positivity,"The presence of autoantibodies in the blood circulation that react against bactericidal/permeability-increasing protein (BPI). BPI is an endotoxin-binding host protein with important antibacterial effects against Gram-negative bacteria, such as Pseudomonas aeruginosa. BPI is a 55 kDalton protein that is most abundant in the azurophilic granules of neutrophils. BPI also acts as a target antigen for antineutrophil cytoplasmic autoantibodies.",Anti-BPI antibody positivity,,,
HP:0033562,Anti-glycoprotein-210 antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against glycoprotein-210.,Anti-gp210 antibody positivity,,ORPHA:562639,
HP:0033563,Anti-tissue transglutaminase antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against tissue transglutaminase.,Anti-tTG antibody positivity,,ORPHA:1656|OMIM:240300,NCBIGene:326:AIRE
HP:0033565,Anti-epidermal transglutaminase antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against epidermal transglutaminase.,Anti-TG3 antibody|Anti-eTG antibody positivity|Anti-epidermal transglutaminase (anti-eTG) antibody|Anti-keratinocyte transglutaminase,,ORPHA:1656,
HP:0033572,Anti-H1 antibody positivity,The presence of autoantibodies in the blood circulation that react against histone H1.,,,,
HP:0033573,Anti-H4 antibody positivity,The presence of autoantibodies in the blood circulation that react against histone H4.,,,,
HP:0033574,Anti-H3 antibody positivity,The presence of autoantibodies in the blood circulation that react against histone H3.,,,,
HP:0033575,Anti-H2A antibody positivity,The presence of autoantibodies in the blood circulation that react against histone H2A.,,,,
HP:0033576,Anti-H2B antibody positivity,The presence of autoantibodies in the blood circulation that react against histone H2B.,,,,
HP:0033592,Anti-H3-H4 antibody positivity,The presence of autoantibodies in the blood circulation that react against the H3-H4 histone dimer.,,,,
HP:0033593,Anti-H2A-H2B antibody positivity,The presence of autoantibodies in the blood circulation that react against the H2A-H2B histone dimer.,,,,
HP:0033629,IgG4 autoimmune antibody positivity,The presence of an antibody of subclass IgG4 in the blood circulation that is directed against the organism's own cells or tissues.,,,,
HP:0033637,Anti-endomysial antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against endomysial tissue transglutaminase 2 (tTG2).,Anti-transglutaminase 2 antibody positivity,,ORPHA:1656|OMIM:240300,NCBIGene:326:AIRE
HP:0033708,Anti-3-hydroxy- 3-methylglutaryl-coA reductase antibody positivity,,Anti-3-hydroxy- 3-methylglutaryl-coA reductase antibodies|Anti-HMGCR autoantibodies,,ORPHA:206569,
HP:0033713,Anti-signal recognition particle antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against anti-signal recognition particle.,Anti-SRP antibody positivity,,ORPHA:732|ORPHA:206569,
HP:0034001,Anti-Complement factor H antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against complement factor H.,CFH autoantibodies,,,
HP:0034002,Anti-phospholipase A2 receptor antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against the phospholipase A2 receptor.,Anti-PLA2R antibody positivity,,ORPHA:97560,
HP:0034016,Anti-HLA antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against a human leukocyte antigen (HLA).,Anti-human leukocyte antigen antibody positivity,,OMIM:620757,NCBIGene:10020:GNE
HP:0034017,Anti-class I HLA antibody positivity,"The presence of autoantibodies (immunoglobulins) in the blood circulation that react against a class I human leukocyte antigen (HLA). Class I HLA corresponds to MHC class I (A, B, and C).",,,,
HP:0034018,Anti-class II HLA antibody positivity,"The presence of autoantibodies (immunoglobulins) in the blood circulation that react against a class II human leukocyte antigen (HLA). Class I HLA corresponds to MHC class II (DP, DM, DO, DQ, and DR).",,,,
HP:0034019,Anti-HLA-A antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against a human leukocyte antigen-A (HLA-A).,,,,
HP:0034020,Anti-HLA-A IgG1 antibody positivity,The presence of IgG1 autoantibodies in the blood circulation that react against a human leukocyte antigen-A (HLA-A).,,,,
HP:0034021,Anti-HLA-A IgG3 antibody positivity,The presence of IgG3 autoantibodies in the blood circulation that react against a human leukocyte antigen-A (HLA-A).,,,,
HP:0034022,Anti-HLA-B antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against a human leukocyte antigen-B (HLA-B).,,,,
HP:0034023,Anti-HLA-B IgG1 antibody positivity,The presence of IgG1 autoantibodies in the blood circulation that react against a human leukocyte antigen-B (HLA-B).,,,,
HP:0034024,Anti-HLA-B IgG3 antibody positivity,The presence of IgG3 autoantibodies in the blood circulation that react against a human leukocyte antigen-B (HLA-B).,,,,
HP:0034055,Anti-side-chain cleavage enzyme antibody positivity,"The presence of autoantibodies (immunoglobulins) in the serum that react against cytochrome P450 cholesterol side-chain cleavage enzyme (P450scc), which is encoded by CYP11A1 cytochrome P450 family 11 subfamily A member 1 (Gene ID:1583).",Anti-P450scc,,ORPHA:3453|OMIM:240300|ORPHA:85138,NCBIGene:326:AIRE
HP:0034061,Anti-steroid 17alpha-hydroxylase antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against steroid 17alpha-hydroxylase.,Anti-P450C17,,ORPHA:3143|ORPHA:85138,
HP:0034062,Anti-insulin antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against insulin.,IAA positivity|Insulin autoantibodies,,OMIM:621004|ORPHA:3002,NCBIGene:5133:PDCD1|NCBIGene:9103:FCGR2C
HP:0034063,Anti-islet antigen-2 antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against tyrosine phosphatase IA-2.,Anti-IA2 antibody positivity|Anti-IA2A|ICA512,,OMIM:616192|OMIM:620044|ORPHA:3002|OMIM:621004,NCBIGene:5611:DNAJC3|NCBIGene:1854:DUT|NCBIGene:9103:FCGR2C|NCBIGene:5133:PDCD1
HP:0034064,Anti-salivary protein antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against salivary protein.,Anti-SP1 antibody positivity,,ORPHA:289390,
HP:0034065,Anti-Zinc transporter 8 antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against zinc transporter 8.,Anti ZnT8 autoantibodies,,,
HP:0034066,Anti-carbonic anhydrase VI antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against carbonic anhydrase VI.,Anti-CA6 antibody positivity,,ORPHA:289390,
HP:0034068,Anti-plasminogen binding peptide antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against plasminogen binding peptide.,Anti-PBP antibody positivity,,,
HP:0034069,Anti-parotid secretory protein antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against parotid secretory protein.,Anti-PSP antibody positivity,,ORPHA:289390,
HP:0034070,Anti-enterocyte antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against enterocytes.,AEA,,,
HP:0034071,Anti-21-hydroxylase antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against 21-hydroxylase.,Anti-P450c21,,ORPHA:85138|OMIM:240300|ORPHA:3453,NCBIGene:326:AIRE
HP:0034076,Anti-ribosome Po antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against ribosome Po.,,,ORPHA:536|ORPHA:90002|ORPHA:289390|ORPHA:809,NCBIGene:640:BLK|NCBIGene:6696:SPP1|NCBIGene:221895:JAZF1|NCBIGene:3500:IGHG1|NCBIGene:3684:ITGAM|NCBIGene:3586:IL10|NCBIGene:51284:TLR7|NCBIGene:11277:TREX1|NCBIGene:1380:CR2|NCBIGene:2215:FCGR3B|NCBIGene:7332:UBE2L3|NCBIGene:55024:BANK1|NCBIGene:4204:MECP2|NCBIGene:720:C4A|NCBIGene:3654:IRAK1|NCBIGene:721:C4B|NCBIGene:5133:PDCD1|NCBIGene:7292:TNFSF4|NCBIGene:3663:IRF5|NCBIGene:7128:TNFAIP3|NCBIGene:6775:STAT4|NCBIGene:1773:DNASE1|NCBIGene:1493:CTLA4|NCBIGene:26191:PTPN22|NCBIGene:79932:KIAA0319L|NCBIGene:3123:HLA-DRB1|NCBIGene:10318:TNIP1|NCBIGene:2113:ETS1|NCBIGene:2213:FCGR2B|NCBIGene:54899:PXK
HP:0034077,Anti-complement component C1q antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against C1q.,Anti-C1q antibody positivity,,ORPHA:536,NCBIGene:640:BLK|NCBIGene:6696:SPP1|NCBIGene:221895:JAZF1|NCBIGene:3500:IGHG1|NCBIGene:3684:ITGAM|NCBIGene:3586:IL10|NCBIGene:51284:TLR7|NCBIGene:11277:TREX1|NCBIGene:1380:CR2|NCBIGene:2215:FCGR3B|NCBIGene:7332:UBE2L3|NCBIGene:55024:BANK1|NCBIGene:4204:MECP2|NCBIGene:720:C4A|NCBIGene:3654:IRAK1|NCBIGene:721:C4B|NCBIGene:5133:PDCD1|NCBIGene:7292:TNFSF4|NCBIGene:3663:IRF5|NCBIGene:7128:TNFAIP3|NCBIGene:6775:STAT4|NCBIGene:1773:DNASE1|NCBIGene:1493:CTLA4|NCBIGene:26191:PTPN22|NCBIGene:79932:KIAA0319L|NCBIGene:3123:HLA-DRB1|NCBIGene:10318:TNIP1|NCBIGene:2113:ETS1|NCBIGene:2213:FCGR2B|NCBIGene:54899:PXK
HP:0034078,Anti-centromere protein A antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against CENP-A.,Anti-CENP-A antibody positivity,,ORPHA:90291,
